Neighborhood,District,Latitude,Longitude
Albany Park,Albany Park,41.9719367,-87.7161739
Mayfair,Albany Park,41.96808720000001,-87.7378365
North Mayfair,Albany Park,41.96808720000001,-87.7378365
Ravenswood Manor,Albany Park,41.9646219,-87.7013797
Archer Heights,Archer Heights,41.8114215,-87.72616509999999
Armour Square,Armour Square,41.8400333,-87.633107
Chinatown,Armour Square,41.8516579,-87.63313829999998
Wentworth Gardens,Armour Square,41.8254473,-87.6326024954855
Ashburn,Ashburn,41.74753320000001,-87.7111628
Beverly View,Ashburn,41.7181532,-87.67176740000001
Parkview,Ashburn,41.940584799999996,-87.7232046752946
Scottsdale,Ashburn,41.7474402,-87.7396616720994
Wrightwood,Ashburn,41.748932399999994,-87.7035753
Gresham,Auburn Gresham,41.736357700000006,-87.6447189
Galewood,Austin,41.9236425,-87.7928372
The Island,Austin,41.875561600000005,-87.6244212
North Austin,Austin,41.8878759,-87.76485079999999
South Austin,Austin,41.8878759,-87.76485079999999
West Humboldt Park,Austin,41.905766799999995,-87.70417370000001
Avalon Park,Avalon Park,41.745034600000004,-87.5886584
Marynook,Avalon Park,41.73910685,-87.59347876823169
Stony Island Park,Avalon Park,41.7225348,-87.5750464
Avondale,Avondale,41.9389208,-87.711168
Polish Village,Avondale,41.91047585,-87.6267746486445
Belmont Central,Belmont Cragin,41.9397964,-87.6533276
Brickyard,Belmont Cragin,41.92944385,-87.7881309187717
Cragin,Belmont Cragin,41.9203096,-87.7561691
Hanson Park,Belmont Cragin,41.92088535,-87.7634092059318
Beverly,Beverly,41.7181532,-87.67176740000001
East Beverly,Beverly,41.7181532,-87.67176740000001
West Beverly,Beverly,41.7181532,-87.67176740000001
Bridgeport,Bridgeport,41.8379385,-87.651028
Brighton Park,Brighton Park,41.8189217,-87.6989421
Burnside,Burnside,41.730034499999995,-87.596714
Calumet Heights,Calumet Heights,41.7300347,-87.57921340000001
Pill Hill,Calumet Heights,41.7273953,-87.56719790000001
Chatham,Chatham,41.74114539999999,-87.6125481
East Chatham,Chatham,41.74114539999999,-87.6125481
West Chatham,Chatham,41.74114539999999,-87.6125481
Chicago Lawn,Chicago Lawn,41.7750332,-87.69644079999999
Lithuanian Plaza,Chicago Lawn,41.7682602,-87.6882371
Marquette Park,Chicago Lawn,41.7685506,-87.7028826190913
Chrysler Village,Clearing,42.0336927,-88.2517337
Clearing East,Clearing,41.780588,-87.77338809999999
Clearing West,Clearing,41.780588,-87.77338809999999
Bronzeville,Douglas,41.8308667,-87.62643990000001
Dearborn Homes,Douglas,41.84073675,-87.62824856406169
The Gap,Douglas,41.89235655,-87.6235882137648
Groveland Park,Douglas,41.83364405,-87.6102561899297
Lake Meadows,Douglas,41.83454415,-87.61431652484958
Prairie Shores,Douglas,41.84161365,-87.61640396231701
South Commons,Douglas,41.8425333,-87.6219955
Stateway Gardens,Douglas,41.82639525,-87.62714220000001
Dunning,Dunning,41.952809,-87.7964493
Schorsch Village,Dunning,41.9472536,-87.77922629999999
East Garfield Park,East Garfield Park,41.8808657,-87.7028328
Fifth City,East Garfield Park,41.67784545,-87.6630305381563
East Side,East Side,41.694617799999996,-87.53338719999999
Andersonville,Edgewater,41.9771393,-87.66927341557958
Edgewater,Edgewater,41.9833689,-87.66395159999999
Edgewater Beach,Edgewater,41.9833689,-87.66395159999999
Edgewater Glen,Edgewater,41.992390500000006,-87.664046
Lakewood,Edgewater,41.9963606,-87.6629701
Edison Park,Edison Park,42.005733500000005,-87.8140036737589
Englewood,Englewood,41.7797559,-87.64588359999999
Hamilton Park,Englewood,41.761678,-87.63735735733499
Edgebrook,Forest Glen,41.99967720000001,-87.7641002
Forest Glen,Forest Glen,41.99175155,-87.7516732983677
Old Edgebrook,Forest Glen,41.994708200000005,-87.7677272
Sauganash,Forest Glen,41.9900357,-87.7422893
South Edgebrook,Forest Glen,41.98963875,-87.7546806833191
Wildwood,Forest Glen,42.00469075,-87.7759244968038
Fuller Park,Fuller Park,41.8180891,-87.63255079999999
Gage Park,Gage Park,41.795033000000004,-87.69616359999999
Garfield Ridge,Garfield Ridge,41.803616999999996,-87.74549436686328
LeClaire Courts,Garfield Ridge,41.8158657,-87.7439436
Sleepy Hollow,Garfield Ridge,41.814199200000004,-87.7411657
Vittum Park,Garfield Ridge,41.8033556,-87.7485309235899
Grand Boulevard,Grand Boulevard,41.813922600000005,-87.6172724
Legends South,Grand Boulevard,41.8136578,-87.6278221137555
Grand Crossing,Greater Grand Crossing,41.755590000000005,-87.6003258
Greater Grand Crossing,Greater Grand Crossing,41.76258065,-87.6003196082787
Park Manor,Greater Grand Crossing,41.7697562,-87.6181046
Hegewisch,Hegewisch,41.653646200000004,-87.5469885
Belmont Gardens,Hermosa,41.9397964,-87.6533276
Hermosa,Hermosa,41.928643,-87.73450190000001
Kelvyn Park,Hermosa,41.92931779999999,-87.73796766414259
Humboldt Park,Humboldt Park,41.905766799999995,-87.70417370000001
Avondale Gardens,Irving Park,41.9389208,-87.711168
Irving Park,Irving Park,41.953365000000005,-87.73644709999999
Kilbourn Park,Irving Park,41.94505385,-87.739044020067
Merchant Park,Irving Park,41.92771629999999,-87.706427
Old Irving Park,Irving Park,41.953365000000005,-87.73644709999999
The Villa,Irving Park,41.90302255,-87.66724512949409
Gladstone Park,Jefferson Park,41.9797793,-87.7778904
Jefferson Park,Jefferson Park,41.9697375,-87.7631179
Kenwood,Kenwood,41.809144399999994,-87.59799079999999
North Kenwood,Kenwood,41.809144399999994,-87.59799079999999
Boystown,Lake View,41.943883299999996,-87.64926690000001
Graceland West,Lake View,41.95813205,-87.660789283278
Lake View,Lake View,41.8853821,-87.62790770000001
North Halsted,Lake View,41.7790375,-87.6445259
South East Ravenswood,Lake View,41.96559129999999,-87.66672390000001
West Lakeview,Lake View,41.9439185,-87.65407590000001
Wrigleyville,Lake View,41.947022,-87.65647729999999
Lincoln Park,Lincoln Park,41.94029765,-87.63811710541759
Park West,Lincoln Park,41.9038811,-87.64234920000001
Range Triangle,Lincoln Park,41.875561600000005,-87.6244212
West DePaul,Lincoln Park,41.92401995,-87.65472633854411
Bowmanville,Lincoln Square,41.9721331,-87.6937374
Lincoln Square,Lincoln Square,41.94029765,-87.63811710541759
Ravenswood,Lincoln Square,41.96559129999999,-87.66672390000001
Ravenswood Gardens,Lincoln Square,41.9639574,-87.695167
Bucktown,Logan Square,41.913688799999996,-87.6820343
Kosciuszko Park,Logan Square,41.9306978,-87.72449524577931
Logan Square,Logan Square,41.928399600000006,-87.7067641113273
Palmer Square,Logan Square,41.921085,-87.7046488803028
East Pilsen,Lower West Side,41.8560101,-87.656306
Heart of Chicago,Lower West Side,41.6817064,-87.6710891487011
Lower West Side,Lower West Side,41.8541996,-87.66560859999998
Pilsen,Lower West Side,41.8560101,-87.656306
McKinley Park,McKinley Park,41.8316997,-87.67366379999999
Montclare,Montclare,41.9253091,-87.8008931
Morgan Park,Morgan Park,41.6903117,-87.66671559999999
Kennedy Park,Morgan Park,41.68722635,-87.68348164192498
West Morgan Park,Morgan Park,41.6903117,-87.66671559999999
Mount Greenwood,Mount Greenwood,41.6980891,-87.7086616
Cabrini-Green,Near North Side,41.8988049,-87.6409372
Gold Coast,Near North Side,41.9066994,-87.6253308
Goose Island,Near North Side,41.9039703,-87.65374752593121
Magnificent Mile,Near North Side,41.8945229,-87.624228
Near North Side,Near North Side,41.900032700000004,-87.6344975
River North,Near North Side,41.94665865,-87.74433794978071
Streeterville,Near North Side,41.8933653,-87.62199670000001
Central Station,Near South Side,41.8873357,-87.7653497
Dearborn Park,Near South Side,41.8665526,-87.62895387063351
Museum Campus,Near South Side,41.865212,-87.61775899999999
Prairie Avenue Historic DIstrict,Near South Side,41.8564221,-87.6208847
Greektown,Near West Side,41.8784447,-87.64693179999999
Illinois Medical District,Near West Side,41.86897625,-87.67513916606221
Little Italy,Near West Side,41.86898915,-87.6485625597018
Near West Side,Near West Side,41.8800656,-87.66676240000001
Tri-Taylor,Near West Side,41.869720799999996,-87.6424057
University Village,Near West Side,41.8761445,-87.62516120000001
West Loop,Near West Side,41.882331799999996,-87.6385777
Back of the Yards,New City,41.80753320000001,-87.66616280000001
Canaryville,New City,41.814755600000005,-87.64032879999999
New City,New City,41.807533299999996,-87.6564403
North Center,North Center,41.9561073,-87.67915959999999
Roscoe Village,North Center,41.943402899999995,-87.6791415
DOuglas Park,North Lawndale,41.8600662,-87.69935465963921
Homan Square,North Lawndale,41.86852055,-87.70939862196501
K-Town,North Lawndale,41.90209155,-87.6421333679348
North Lawndale,North Lawndale,41.860032399999994,-87.71838829999999
North Park,North Park,41.98495475,-87.72293435387871
Big Oaks,Norwood Park,41.47054,-87.8768065
Norwood Park East,Norwood Park,41.9855895,-87.80057720132271
Norwood Park West,Norwood Park,41.9855895,-87.80057720132271
Old Norwood,Norwood Park,41.9862549,-87.8360038
Oriole Park,Norwood Park,41.9789798,-87.81532953658491
Union Ridge,Norwood Park,41.878682399999995,-87.64040777429742
O'Hare,O'Hare,41.97310105,-87.90676788547229
Schorsch Forest View,O'Hare,41.9472536,-87.77922629999999
Oakland,Oakland,41.8236535,-87.60824240000001
Portage Park,Portage Park,41.9578093,-87.7650594
Pullman,Pullman,41.692218200000006,-87.60660390000001
Altgeld Gardens,Riverdale,41.65486375,-87.6004393348106
Eden Green,Riverdale,41.8854222,-87.6712386
Golden Gate,Riverdale,41.65808835,-87.61153343590729
Riverdale,Riverdale,41.6678347,-87.60496440000001
Loyola,Rogers Park,42.0013525,-87.6613062
Rogers Park,Rogers Park,42.01053135,-87.6707481966481
Fernwood,Roseland,41.70397535,-87.6391008086238
Lilydale,Roseland,41.7242009,-87.625326
Princeton Park,Roseland,41.7262979,-87.6311389705345
Roseland,Roseland,41.7019787,-87.625881
Rosemoor,Roseland,41.7071223,-87.6072188
South Chicago,South Chicago,41.722813,-87.536434
South Deering,South Deering,41.896991799999995,-88.1867785
Little Village,South Lawndale,41.86898915,-87.6485625597018
South Lawndale,South Lawndale,41.8436437,-87.71255440000002
South Shore,South Shore,41.76265045,-87.5700927782457
The Loop,The Loop,41.881609399999995,-87.6294574
New Eastside,The Loop,42.0329734,-88.2487996
Printer's Row,The Loop,41.8737868,-87.6288996
South Loop,The Loop,41.8617846,-87.6261213
Buena Park,Uptown,41.9578099,-87.6528331
Clarendon Park,Uptown,41.96327455,-87.6488399065922
New Chinatown,Uptown,41.8516579,-87.63313829999998
Sheridan Park,Uptown,41.8710536,-87.6548066669314
Uptown,Uptown,41.9666299,-87.6555458
Brainerd,Washington Heights,41.732811600000005,-87.6583828
Longwood Manor,Washington Heights,41.6903981,-87.6721901
Washington Heights,Washington Heights,41.7064229,-87.65616
Washington Park,Washington Park,41.7925338,-87.6181052
West Elsdon,West Elsdon,41.7939217,-87.7244978
West Englewood,West Englewood,41.7780891,-87.6667177
West Garfield Park,West Garfield Park,41.880587799999994,-87.72922270000001
Ford City,West Lawn,41.75531965,-87.7369115083663
West Lawn,West Lawn,41.7728107,-87.722275
West Pullman,West Pullman,41.6750456,-87.637823
Nortown,West Ridge,41.9105303,-87.6606108
Peterson Park,West Ridge,41.9891652,-87.720430593769
Rosehill,West Ridge,41.9864564,-87.6811986354359
West Ridge,West Ridge,42.003548200000004,-87.69624259999999
West Rogers Park,West Ridge,42.01053135,-87.6707481966481
East Village,West Town,41.86898915,-87.6485625597018
 Noble Square,West Town,41.90188525,-87.6620284496952
Pulaski Park,West Town,41.90612025,-87.6633050255172
River West,West Town,41.792481099999996,-87.7452203
Smith Park,West Town,41.89278415,-87.6904479186798
Ukrainian Village,West Town,41.8963523,-87.6847499
West Town,West Town,41.901421299999996,-87.6861661
Wicker Park,West Town,41.9078018,-87.6781551
Woodlawn,Woodlawn,41.779478600000004,-87.59949300000001
West Woodlawn,Woodlawn,41.779478600000004,-87.59949300000001
Irving Woods,Dunning,41.9487,-87.8301
Lake View East,Lake View,41.9414,-87.6443
Sheffield Neighbors,Lincoln Park,41.9218,-87.6574
Wrightwood Neighbors,Lincoln Park,41.9286,-87.6564
Budlong Woods,Lincoln Square,41.9794,-87.6964
Beverly Woods,Morgan Park,41.681000000000004,-87.6831
Talley's Corner,Mount Greenswood,41.9039,-87.6513
Old Town,Near North Side,41.9077,-87.6374
Fulton River District,Near West Side,41.8895,-87.6434
Saint Ben's,North Center,41.9525,-87.6839
Hollywood Park,North Park,41.9868,-87.7233
Cottage Grove Heights,Pullman,41.7181,-87.5964
Kensington,Roseland,41.6857,-87.6123
Marshall Square,South Lawndale,41.8519,-87.6926
Jackson Park Highlands,South Shore,41.7688,-87.5779
Margate Park,Uptown,41.9721,-87.6498
Polish Downtown,West Town,41.9036,-87.6671
